Developer,City,Autonomous area,Country,Notable games,Notes
11 bit studios,Warsaw,,Poland,AnomalyThis War of MineFrostpunk,
ACE Team,Santiago,Santiago,Chile,Zeno ClashRock of Ages,
Akupara Games,Los Angeles,California,United States,Whispering Willows The Metronomicon: Slay the Dance Floor,
Alec Holowka,Winnipeg,Manitoba,Canada,Crayon Physics DeluxeI'm O.K – A Murder SimulatorAquariaNight in the Woods,
Alientrap,Saskatoon,Saskatchewan,Canada,CapsizedApotheon,
Amanita Design[1],Brno,,Czech Republic,Samorost seriesMachinariumBotanicula,
Ambrosia Software,Rochester,New York,United States,Escape Velocity series,
Amplitude Studios,Paris,Île-de-France,France,Endless SpaceEndless LegendDungeon of the Endless,
AmnesiaGames,Santiago de Chile,,Chile,,
Ankama Games,Roubaix,,France,Dofus,Denton Designs
Anna Anthropy,Oakland,California,United States,Dys4ia Mighty Jill Off,
Arcane Kids,Los Angeles,California,United States,Bubsy 3D: Bubsy Visits the James Turrell Retrospective Sonic Dreams Collection,
Arcen Games,Durham,North Carolina,United States,AI War seriesA Valley Without Wind seriesThe Last Federation,
Arrowhead Game Studios,Stockholm,,Sweden,Magicka Helldivers,
Artix Entertainment,Land o' Lakes,Florida,United States,AdventureQuestDragonFableMechQuestAdventureQuest WorldsWarpForceEpicDuelHeroSmash,
Aventurine SA,Athens,,Greece,Darkfall Online,
Babaroga,Chicago,Illinois,United States,Spore OriginsZombies!!!,
Basilisk Games,Indianapolis,Indiana,United States,Eschalon series,
The Behemoth[1],San Diego,California,United States,Alien HominidCastle CrashersBattleBlock TheaterPit People,
Benjamin Rivers,Toronto,Ontario,Canada,,
Big Finish Games,Salt Lake City,Utah,United States,Three Cards to Midnight,
Blitz Games Studios,Warwickshire,,United Kingdom (England),Powerup ForeverDroplitzInvincible Tiger: The Legend of Han Tao,
Blue Fang Games,Waltham,Massachusetts,United States,Zoo Tycoon series,
Bohemia Interactive Studio,Prague,,Czech Republic,Operation Flashpoint: Cold War CrisisArmA: Armed AssaultTake On MarsDayZ,
Boomzap Entertainment,Singapore,,Singapore,,
Bubble Gum Interactive,Sydney,,Australia,Little Space Heroes,
Capybara Games[1][2],Toronto,Ontario,Canada,Superbrothers: Sword & Sworcery EPCritter CrunchMight & Magic: Clash of HeroesSuper Time Force,
CBE Software,Brno,,Czech Republic,J.U.L.I.A.J.U.L.I.A. Among the Stars,
CCP Games,Reykjavík,,Iceland,Eve Online,
The Chinese Room[2],Brighton,,United Kingdom (England),Dear EstherAmnesia: A Machine for Pigs,
Choice Provisions,Santa Cruz,California,United States,Bit.Trip series,Formerly Gaijin Games
Christine Love,Toronto,Ontario,Canada,"Digital: A Love Storydon't take it personally, babe, it just ain't your storyAnalogue: A Hate Story",
Christopher Howard Wolf,Rocky Point,North Carolina,United States,DragonSpiresI'm O.K – A Murder Simulator'',
Chronic Logic,Santa Cruz,California,United States,Bridge BuilderGish,
Cinemax,Prague,,Czech Republic,Numen: Contest of HeroesGumboy: Crazy AdventuresInquisitor,
ClockStone,Innsbruck,Tyrol,Austria,Avencast: Rise of the Mage,
Coffee Stain Studios,Skövde,,Sweden,Goat SimulatorSanctum series,
Colossal Order,Tampere,,Finland,Cities: Skylines,
Comcept,Tokyo and Osaka,,Japan,Mighty No. 9,Founded by Keiji Inafune
Compulsion Games,Montreal,Quebec,Canada,Contrast We Happy Few,
Craneballs Studio,Ostrava,,Czech Republic,Planet Nomads,
Croteam,Zagreb,,Croatia,Football GlorySerious Sam series The Talos Principle,
Crytek Black Sea,Sofia,,Bulgaria,Knights of HonorWorldShift,Formerly Black Sea Studios
Curve Digital,London,,United Kingdom (England),Fluidity series Stealth Inc. series,
Cypronia,Michalovce,,Slovakia,State of War,Formerly Cypron Studios
Daedalic Entertainment,Hamburg,,Germany,Edna & Harvey seriesThe Whispered WorldDeponia seriesThe Dark Eye seriesThe Night of the Rabbit,
Datcroft Games,London,England,United Kingdom,Fragoria,
Daniel Benmergui[2],Buenos Aires,,Argentina,Today I DieI Wish I Were The Moon,
Davilex Games[2],Houten,Utrecht,Netherlands,A2 Racer,
Dejobaan Games[1],Boston,Massachusetts,United States,AaaaaAAaaaAAAaaAAAAaAAAAA!!! – A Reckless Disregard for GravityThe Wonderful End of the World,
Dennaton Games,,,Sweden,Hotline MiamiHotline Miami 2: Wrong Number,
Derek Smart,Fort Lauderdale,Florida,United States,Battlecruiser 3000ADUniversal Combat,
Derek Yu[2],Pasadena,California,United States,I'm O.K – A Murder SimulatorAquariaSpelunkyEternal Daughter,
Digital Eel,Seattle,Washington,United States,Weird Worlds: Return to Infinite SpaceStrange Adventures In Infinite Space,
Digital Happiness,Bandung,West Java,Indonesia,Dreadout,
Dreadlocks Ltd,Prague,,Czech Republic,Rune LegendDex,
DrinkBox Studios,Toronto,Ontario,Canada,Tales From Space: Mutant Blobs AttackGuacamelee!Severed,
Dr. Panda[3],Chengdu,,China,,Formerly TribePlay
Edmund McMillen[2],Santa Cruz,California,United States,GishSuper Meat BoyAetherSpewerThe Binding of IsaacThe Binding of Isaac: Rebirth,
Elixir Studios,London,England,United Kingdom,Republic: The RevolutionEvil Genius,
Eurocom,Derby,,United Kingdom,Sphinx and the Cursed MummyBatman BeginsPirates of the Caribbean: At World's EndVancouver 2010: The Official Videogame of the Winter Olympic GamesGoldenEye 007,
"Evony, LLC",Guangzhou,,China,Evony: Age I,
Facepunch Studios,Walsall,,United Kingdom (England),Garry's ModRust,
Firefly Studios,London,,United Kingdom (England),StrongholdStronghold 2Space ColonyStronghold 3Dungeon HeroCiv City: RomeStronghold Kingdoms,
Flying Wild Hog,Warsaw,,Poland,Hard Reset Shadow Warrior series,
Freebird Games,Markham,Ontario,Canada,To the Moon,
Frictional Games,Helsingborg,,Sweden,Penumbra seriesAmnesia: The Dark Descent SOMA,
Frima,Quebec City,Quebec,Canada,ChariotZombie Tycoon,
Frogwares,Kyiv,,Ukraine,Journey to the Center of the EarthSherlock Holmes: Secret of the Silver EarringSherlock Holmes: The AwakenedDracula: Origin,
Frontier Developments,Cambridge,,United Kingdom (England),Frontier: Elite IILostWindsLostWinds: Winter of the Melodias,
The Fullbright Company[2],Portland,Oregon,United States,Gone Home,
Games Distillery,Bratislava,Bratislava Region,Slovakia,Aqua,
GarageGames,Eugene,Oregon,United States,Marble Blast Ultra,
Gogii Games,Moncton,New Brunswick,Canada,,
Greenheart Games,Brisbane,Queensland,Australia,Game Dev Tycoon,
Grip Digital,Prague,,Czech Republic,Atomic NinjasThe Solus Project,
Guild Software,Milwaukee,Wisconsin,United States,Vendetta Online,
Haemimont Games,Sofia,,Bulgaria,Tropico 3 Tzar: Burden of the Crown,
Halfbrick Studios,Brisbane,Queensland,Australia,Fruit Ninja Jetpack Joyride,
Hanako Games,,,United Kingdom,Cute KnightFatal Hearts,
Heart Machine,Culver City,California,United States,Hyper Light Drifter,
Hello Games[1],Guildford,England,United Kingdom,Joe Danger series No Man's Sky,
Hexage,Mníšek pod Brdy,,Czech Republic,Reaper: Tale of a Pale SwordsmanRedcon,
Hidden Path Entertainment,Bellevue,Washington,United States,Defense Grid: The Awakening Defense Grid 2,
Himalaya Studios,Chandler,Arizona,United States,Al Emmo and the Lost Dutchman's Mine,
Hoplon Infotainment,Florianópolis,Florianópolis,Brazil,Heavy Metal Machines,Developer and publisher
Ice-Pick Lodge,Moscow,,Russia,PathologicThe Void,
Image & Form,Gothenburg,,Sweden,SteamWorld series,
Inti Creates,"Ichikawa, Chiba",,Japan,Mega Man Zero series Mega Man ZX series Gal Gun seriesAzure Striker Gunvolt seriesBlaster Master Zero,"Developer and publisher, formed by ex-Capcom staff"
Introversion Software,,,United Kingdom,UplinkDarwiniaDEFCONSubversion (development has stopped temporarily)MultiwiniaPrison Architect,
Invictus Games,Debrecen,,Hungary,Project Torque,
Jagex,Cambridge,England,United Kingdom,RuneScapeAce of Spades,
Jason Rohrer[1],Potsdam,New York,United States,PassageGravitationBetween,
Jonas Kyratzes,Wiesbaden,,Germany,The Museum of Broken Memories,
"Jonatan ""Cactus"" Söderström[1]",Gothenburg,,Sweden,Clean Asia!,
Jph Wacheski,Ottawa,Ontario,Canada,,
Keen Software House,Prague,,Czech Republic,Miner Wars 2081Space Engineers,
Klei Entertainment[1],Vancouver,British Columbia,Canada,"EetsShankShank 2Mark of the NinjaDon't StarveInvisible, Inc.",
Kloonigames[1],,,Finland,Crayon Physics Deluxe,
Kunos Simulazioni,Vallelunga Circuit,Latium,Italy,Assetto CorsaFerrari Virtual AcademynetKar Pro,
Kiro'o Games,Yaounde,,Cameroon,Aurion: Legacy of the Kori-Odan,
Laminar Research,Columbia,South Carolina,United States,X-Plane,
Larian Studios,Ghent,,Belgium,Divinity: Original Sin Divinity: Original Sin II,
Lazy 8 Studios,San Francisco,California,United States,CogsBioShock Infinite: Industrial Revolution,
Lindsay Grace,"Washington, DC",District of Columbia,United States,Big Huggin',
Little Green Men Games,Zagreb,,Croatia,Starpoint GeminiStarpoint Gemini 2,
Llamasoft,,,United Kingdom,Polybius (2017 video game)Space GiraffeGridrunner Revolution,
Madfinger Games,Brno,,Czech Republic,ShadowgunDead Trigger,
Mega Cat Studios,Pittsburgh,Pennsylvania,United States,Bite the BulletLog Jammers,
Messhof,Los Angeles,California,United States,Nidhogg,
MidBoss,San Francisco,California,United States,Read Only Memories,
Mighty Rabbit Studios,Cary,North Carolina,United States,Saturday Morning RPGBreach & ClearBreach & Clear: Deadline,
Mode 7 Games,Brighton,East Sussex,England,Frozen Synapse seriesTokyo 42,
Mojang,Stockholm,,Sweden,MinecraftCobaltScrolls,
Molleindustria,Turin,,Italy,Faith FighterPhone Story,
Moon Studios,Vienna,,Austria,Ori and the Blind ForestOri and the Will of the Wisps,
NeocoreGames,Budapest,,Hungary,The Incredible Adventures of Van Helsing,
New Star Games,,,United Kingdom,New Star Soccer,
Nicalis,Santa Ana,California,United States,NightSkyCave StoryVVVVVV1001 SpikesThe Binding of Isaac: Rebirth,
Nifflas,Umeå,,Sweden,KnyttKnytt StoriesWithin a Deep Forest,
Nival Interactive,Moscow,,Russia,BlitzkriegSilent Storm,
Number None,,California,United States,BraidThe Witness,
The Odd Gentlemen[1],,California,United States,The Misadventures of P.B. Winterbottom,
Owlchemy Labs,Boston,Massachusetts,United States,Snuggle TruckAaaaaAAaaaAAAaaAAAAaAAAAA!!!,
Parallax Studio,Nixa,Missouri,United States,Darkstar: The Interactive Movie,
PixelJAM Games,,,United States,Dino Run,
Playdead[1],Copenhagen,,Denmark,LimboInside,
Polytron Corporation[1],Montreal,,Canada,Fez,
Puppy Games,Notting Hill,,United Kingdom (England),Revenge of the TitansDroid Assault,
Positech Games,,,United Kingdom,DemocracyGratuitous Space Battles,
Private Moon Studios,,,Hungary,AGON series Yoomurjak's Ring,
Provox Games,Zagreb,,Croatia,Space Force: Rogue Universe,
Psyonix Studios,San Diego,California,United States,Rocket LeagueSupersonic Acrobatic Rocket-Powered Battle-CarsARC Squadron,
Punch Entertainment,Palo Alto,California,United States,,
Q-Games,Kyoto,,Japan,Star Fox CommandPixelJunk series,
Rake In Grass,Prague,,Czech Republic,Jets 'n' GunsLarva Mortus,
Red Thread Games,Oslo,,Norway,Dreamfall ChaptersDraugen,
Renegade Kid,Austin,Texas,United States,Mutant Mudds,
Daniel Remar,,,Sweden,Iji,
Relentless Software,Brighton,,United Kingdom,Buzz!Blue Toad Murder Files,
Renegade Kid,Austin,Texas,United States,Dementium: The WardMoonDementium II,
Roll7,London,,United Kingdom (England),OlliOlli OlliOlli2: Welcome to Olliwood Not a Hero,
Ronimo Games[1],Utrecht,,Netherlands,de BlobSwords & SoldiersAwesomenauts,
Rovio Entertainment,Espoo,,Finland,Angry Birds,
S2 Games,Rohnert Park,California,United States,Savage: The Battle for NewerthSavage 2: A Tortured SoulHeroes of Newerth,
Saber Interactive,Millburn,New Jersey,United States,Will RockTimeShift,
Sandlot Games,Bothell,Washington,United States,Cake Mania,
Santa Cruz Games,Santa Cruz,California,United States,Tomb Raider: UnderworldGodzilla Unleashed: Double Smash,
Schell Games,Pittsburgh,Pennsylvania,United States,I Expect You To Die,Developer and publisher
Scott Cawthon,Salado,Texas,United States,Five Nights at Freddy's series,
Semi Secret Software[1],Austin,Texas,United States,Canabalt,
Sidhe,Wellington,,New Zealand,GripShiftShatterRugby Challenge seriesRugby League series (2003-2010),
Simogo,Malmö,,Sweden,Device 6Year WalkBeat Sneak BanditBumpy Road,
Silver Creek Entertainment,Grants Pass,Oregon,United States,Soltrio Solitaire,
Ska Studios,Marcy,New York,United States,Survival Crisis ZThe Dishwasher: Dead SamuraiI MAED A GAM3 W1TH Z0MB1ES 1NIT!!!1The Dishwasher: Vampire SmileCharlie MurderSalt and Sanctuary,
Skygoblin,Gothenburg,,Sweden,The Journey Down,
Soldak Entertainment,Dallas,Texas,United States,Depths of PerilKivi's UnderworldDin's Curse,
Spiderweb Software,Seattle,Washington,United States,Exile seriesAvernum seriesGeneforge seriesNethergate,
Splash Damage,London,,United Kingdom (England),Wolfenstein: Enemy TerritoryEnemy Territory: Quake Wars,
Squad,Mexico City,,Mexico,Kerbal Space Program,
Stardock,Plymouth,Michigan,United States,Galactic Civilizations seriesElemental seriesThe Political Machine series,
Storm Impact,Glenview,Illinois,United States,TaskMaker,
Studio Pixel,,,Japan,Cave StoryIkachanKero Blaster,
Subatomic Studios,Boston,Massachusetts,United States,Fieldrunners,
Supergiant Games,San Jose,California,United States,BastionTransistorPyreHades,
SuperVillain Studios,Santa Ana,California,United States,Dungeon Siege: Throne of AgonyOrder Up!,
Tarsier Studios,Malmö,,Sweden,Little Nightmares,
Tale of Tales,Ghent,,Belgium,The Endless ForestThe GraveyardThe Path,
TaleWorlds,Ankara,,Turkey,Mount&BladeMount&Blade: WarbandMount&Blade: With Fire & Sword,
Team Shanghai Alice,Ebina,Kanagawa,Japan,Touhou Project,
Telltale Games,San Rafael,California,United States,Sam & Max episodic series The Walking Dead seriesTales from the BorderlandsThe Wolf Among UsGame of Thrones Minecraft: Story Mode,
Terry Cavanagh,London,,United Kingdom (England),VVVVVSuper Hexagon,
thatgamecompany[1],Los Angeles,California,United States,flOwCloudFlowerJourney,
Three Rings Design,San Francisco,California,United States,Yohoho! Puzzle PiratesBang! HowdyWhirled,
Tiger Style[2],Austin,Texas,United States,Waking MarsSpider: The Secret of Bryce ManorSpider: Rite of the Shrouded Moon,
tinyBuild,Bothell,Washington,United States,No Time to Explain,Since 2016 only active as a publisher
Terri Vellmann,,,Brazil,Heavy Bullets,
Toby Fox,Boston,Massachusetts,United States,UndertaleDeltarune,
Torpex Games,Bellevue,Washington,United States,Schizoid,
Tomorrow Corporation,,,United States,Little InfernoWorld of Goo,
Trendy Entertainment,Gainesville,Florida,United States,Dungeon Defenders,
Tribute Games,Montreal,Quebec,Canada,WizorbMercenary KingsCurses 'N Chaos,
Trickster Arts,Brno,,Czech Republic,Hero of ManyHackers,
Twisted Pixel[1],Austin,Texas,United States,The Maw'Splosion ManMs. Splosion Man,
Uber Entertainment,Kirkland,Washington,United States,Planetary AnnihilationMonday Night CombatSuper Monday Night Combat,
Vectorpark,Brooklyn,New York,United States,WindosillMetamorphabet,
Vlambeer[2],Utrecht,,Netherlands,Super Crate BoxSerious Sam: The Random EncounterLuftrausersNuclear Throne,
VoxelStorm,Manchester,,United Kingdom,GolfXTRMFractyrAdvertCity,
Wadjet Eye Games,New York City,New York,United States,The Shivah Blackwell series Gemini Rue Shardlight,
"WayForward Technologies, Inc.",Valencia,California,United States,Shantae seriesContra 4A Boy and His BlobMighty Switch Force seriesDouble Dragon NeonDuckTales Remastered,
Wolfire Games,Berkeley,California,United States,Black ShadesLugaru: The Rabbit's FootOvergrowth,
Xona Games[4],Yarmouth,Nova Scotia,Canada,Score Rush,
XMG Studio,Toronto,Ontario,Canada,,
Yacht Club Games,"Valencia, California",California,United States,Shovel Knight,Founded by former Wayforward director Sean Velasco
Young Horses,Chicago,Illinois,United States,Octodad Octodad: Dadliest Catch,
Zachary Barth,Seattle,Washington,United States,InfiniminerSpaceChem,
Zoetrope Interactive,Istanbul,,Turkey,Darkness WithinDarkness Within: The Dark Lineage,
Zoink,Gothenburg,,Sweden,PlayStation All-Stars IslandThe Kore Gang,
Zoonami,Cambridge,England,United Kingdom,ZendokuBonsai Barber,
ZootFly,Ljubljana,,Slovenia,First Battalion,
